t,body,x,y
792060,Moon,1.47556e+11,2.38229e+10
798060,Sun,5728.89,303.835
798060,Earth,1.47722e+11,2.36794e+10
798060,Moon,1.47523e+11,2.3996e+10
804060,Sun,5815.17,310.734
804060,Earth,1.47694e+11,2.3856e+10
804060,Moon,1.4749e+11,2.41691e+10
810060,Sun,5902.1,317.736
810060,Earth,1.47665e+11,2.40325e+10
810060,Moon,1.47456e+11,2.4342e+10
816060,Sun,5989.66,324.842
816060,Earth,1.47637e+11,2.4209e+10
816060,Moon,1.47422e+11,2.45148e+10
822060,Sun,6077.86,332.054
822060,Earth,1.47608e+11,2.43855e+10
822060,Moon,1.47388e+11,2.46875e+10
828060,Sun,6166.7,339.371
828060,Earth,1.47579e+11,2.4562e+10
828060,Moon,1.47354e+11,2.48601e+10
834060,Sun,6256.19,346.795
834060,Earth,1.47549e+11,2.47384e+10
834060,Moon,1.4732e+11,2.50326e+10
840060,Sun,6346.31,354.326
840060,Earth,1.4752e+11,2.49148e+10
840060,Moon,1.47286e+11,2.52049e+10
846060,Sun,6437.07,361.965
846060,Earth,1.4749e+11,2.50911e+10
846060,Moon,1.47251e+11,2.53771e+10
852060,Sun,6528.48,369.713
852060,Earth,1.4746e+11,2.52674e+10
852060,Moon,1.47216e+11,2.55493e+10
858060,Sun,6620.52,377.571
858060,Earth,1.47429e+11,2.54437e+10
858060,Moon,1.47182e+11,2.57213e+10
864060,Sun,6713.2,385.539
864060,Earth,1.47399e+11,2.56199e+10
864060,Moon,1.47147e+11,2.58931e+10
870060,Sun,6806.52,393.618
870060,Earth,1.47368e+11,2.57961e+10
870060,Moon,1.47112e+11,2.60649e+10
876060,Sun,6900.48,401.809
876060,Earth,1.47338e+11,2.59723e+10
876060,Moon,1.47076e+11,2.62366e+10
882060,Sun,6995.08,410.113
882060,Earth,1.47306e+11,2.61484e+10
882060,Moon,1.47041e+11,2.64081e+10
888060,Sun,7090.32,418.53
888060,Earth,1.47275e+11,2.63245e+10
888060,Moon,1.47005e+11,2.65795e+10
894060,Sun,7186.2,427.062
894060,Earth,1.47244e+11,2.65006e+10
894060,Moon,1.4697e+11,2.67509e+10
900060,Sun,7282.71,435.708
900060,Earth,1.47212e+11,2.66766e+10
900060,Moon,1.46934e+11,2.69221e+10
906060,Sun,7379.87,444.47
906060,Earth,1.4718e+11,2.68526e+10
906060,Moon,1.46898e+11,2.70932e+10
912060,Sun,7477.66,453.349
912060,Earth,1.47148e+11,2.70285e+10
912060,Moon,1.46862e+11,2.72642e+10
918060,Sun,7576.09,462.345
918060,Earth,1.47116e+11,2.72044e+10
918060,Moon,1.46826e+11,2.74351e+10
924060,Sun,7675.16,471.459
924060,Earth,1.47083e+11,2.73803e+10
924060,Moon,1.4679e+11,2.76059e+10
930060,Sun,7774.87,480.691
930060,Earth,1.4705e+11,2.75561e+10
930060,Moon,1.46753e+11,2.77766e+10
936060,Sun,7875.22,490.044
936060,Earth,1.47017e+11,2.77319e+10
936060,Moon,1.46717e+11,2.79471e+10
942060,Sun,7976.2,499.516
942060,Earth,1.46984e+11,2.79077e+10
942060,Moon,1.4668e+11,2.81176e+10
948060,Sun,8077.82,509.11
948060,Earth,1.46951e+11,2.80834e+10
948060,Moon,1.46643e+11,2.8288e+10
954060,Sun,8180.08,518.826
954060,Earth,1.46917e+11,2.82591e+10
954060,Moon,1.46606e+11,2.84583e+10
960060,Sun,8282.98,528.664
960060,Earth,1.46883e+11,2.84347e+10
960060,Moon,1.46569e+11,2.86285e+10
966060,Sun,8386.51,538.625
966060,Earth,1.46849e+11,2.86103e+10
966060,Moon,1.46532e+11,2.87986e+10
972060,Sun,8490.68,548.711
972060,Earth,1.46815e+11,2.87859e+10
972060,Moon,1.46495e+11,2.89686e+10
978060,Sun,8595.49,558.921
978060,Earth,1.46781e+11,2.89614e+10
978060,Moon,1.46457e+11,2.91385e+10
984060,Sun,8700.93,569.257
984060,Earth,1.46746e+11,2.91369e+10
984060,Moon,1.4642e+11,2.93083e+10
990060,Sun,8807.01,579.72
990060,Earth,1.46711e+11,2.93123e+10
990060,Moon,1.46382e+11,2.9478e+10
996060,Sun,8913.73,590.31
